romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
ost͡ʃilat͡sie,ɔzijatjɔ̃,ost͡ʃilːasione,ossilasion
ost͡ʃilat͡siune,ɔzijatjɔ̃,ost͡ʃilːasione,ossilasion
ospitalitate,ɔspitalite,ospitalita,ospitalidad
ostentat͡sie,ɔstɛntatjɔ̃,ostentasione,ostentasion
ostilitate,ɔstjlite,ostilita,ostilidad
ou,oeyf,ouvo,webo
oval,ɔval,ovale,obal
pəkat,peʃe,pekːato,pekado
pat͡ʃe,pazifik,pat͡ʃe,pas
pat͡ʃient,patj,pat͡ʃente,pasiente
pat͡ʃient͡sə,pakj,pat͡ʃensa,pasiensia
pat͡ʃifika,pazifje,pat͡ʃifikare,pasifikaɾ
pat͡ʃifikator,pazifikatœr,pat͡ʃifikatore,pasifikadoɾ
pakt,pakt,patːo,pakto
pəkurə,pwa,peɡola,pes
pəduke,pu,pidokːio,pjoxo
pədukios,pujlœ,pidokːĭoso,pjoxoso
pəd͡ʒɨn,pɛâ,paɡano,paɡano
pad͡ʒinə,paʒine,pad͡ʒina,paxina
pərea,pajl,paʎa,paxa
palat,palɛ,palato,palasio
palid,pɑl,palːido,palido
palimpsest,palɛ̃psɛst,palinsesto,palimpsesto
palinodie,palinɔdj,palinodia,palinodja
palmə,palma,palama,palma
palmier,palmje,palmiere,palma
palpa,palpe,palpare,palpaɾ
panə,pane,penːa,peɲa
panat͡ʃeu,panaze,panat͡ʃea,panasea
panikə,panik,paniko,paniko
panteon,panteɔ̃,pánteon,panteon
panterə,pantɛr,pantera,panteɾa
papə,patɛlɛ̃,papa,papa
papilə,papij,papilːa,papila
parə,par,palo,palo
parat͡ʃentezə,parazɛntɛz,parat͡ʃentesi,paɾasentesis
paradiɡmə,paradiɡm,paradiɡma,paɾadiɡma
paradis,paradi,paradiso,paɾaiso
paradiziak,paradisjak,paradisiako,paɾadisjako
paralel,paralɛl,paralːelo,paɾalelo
paralitik,paralitjk,paralitiko,paɾalitiko
parantezə,parantɛz,parentesi,paɾentesis
parazit,parazi,parasːita,paɾasito
park,park,parko,paɾke
pərere,parwar,parere,paɾeseɾ
pəresimi,karɛm,kuaresima,kwaɾesma
pərete,parwa,parete,paɾed
parietal,parjetal,parietale,paɾjetal
pərinte,par,parente,paɾjente
paritate,parite,parita,paɾidad
parodie,parɔdj,parodia,paɾodja
parohie,parwas,parːokia,parokja
parotidə,parɔtj,parotide,paɾotida
parte,part,parte,paɾte
partit͡ʃipa,partjzipe,partet͡ʃipare,paɾtisipaɾ
partit͡ʃipiu,partjzi,partit͡ʃipio,paɾtisipjo
pərul,pɔj,pelo,pelo
pas,dɛpase,kompasːo,pasaɾ
paskal,paskal,paskuale,paskwal
pasiune,pasjɔ̃,pasːione,pasjon
paʃte,pɑk,paskua,paskwa
pastiʃə,pastjʃ,pastit͡ʃːo,pastit͡ʃe
pəʃune,pɛsɔ̃,past͡ʃona,pasto
patent,pa,patente,patente
paternitate,patɛrnite,paternita,pateɾnidad
patetik,patetjk,patetiko,patetiko
pətlad͡ʒinə,plantɛ̃,piantad͡ʒine,ʝanten
patrimonial,patrimɔnjal,patrimoniale,patɾimonjal
patrimoniu,patrimwan,patrimonio,patɾimonjo
patron,patrɔ̃,impadronirsi,patɾon
patronimik,patrɔnimik,patronimiko,patɾonimiko
patru,kadrilatɛr,kuatːro,kwatɾo
patrulater,kadrilatɛr,kuadrilatero,kwadɾilateɾo
pəun,paɔ̃,pavone,pabon
pe,par,per,ad
peatrə,pjɛrr,pietra,pjedɾa
pektoral,pɛktɔral,petːorale,pektoɾal
pekuliar,pekyljɛr,pekuliare,pekuljaɾ
pedalə,pedal,pedale,pedal
pedikur,pedikyr,pedikure,pedikuɾa
pele,po,pelːe,pjel
pelerin,pəlɛrɛ̃,peleɡrino,peɾeɡɾino
pelvis,pɛlvi,pelvi,pelbis
pene,pan,penːa,peɲa
penetra,penetre,penetrare,penetɾaɾ
penetrabil,penetrabl,penetrabile,penetɾable
penetrat͡sie,penetratjɔ̃,penetrasione,penetɾasion
penetrat͡siune,penetratjɔ̃,penetrasione,penetɾasion
peninsulə,peninsyl,penisola,peninsula
penis,peni,pene,pene
penitent,peni,penitente,penitente
penitent͡sə,penitɛn,penitensa,penitensia
pensiune,pâsjɔ̃,pensione,pensjon
penultim,penyltjɛm,penultimo,penultimo
pepene,pepɛ̃,pepone,pepino
peplu,peplɥə̃,peplo,peplos
pept,pi,petːo,pet͡ʃo
peptine,pɛɲ,petːine,peine
pert͡ʃepe,pɛrsɛptjbil,pert͡ʃepire,peɾsibiɾ
pert͡ʃeptibil,pɛrsɛptjbl,pert͡ʃetːibile,peɾseptible
pert͡ʃept͡sie,pɛrsɛptjɔ̃,pert͡ʃesione,peɾsepsion
perdit͡sie,pɛrditjɔ̃,perdisione,peɾdision
pereke,parɛj,parekːio,paɾexo
peren,perɛn,perenːe,peɾenne
perfekt,parfɛ,perfetːo,peɾfekto
perfekt͡siune,pɛrfɛktjɔ̃,perfesione,peɾfeksion
perfidie,pɛrfidj,perfidia,peɾfidja
perfora,pɛrfɔre,perforare,peɾfoɾaɾ
perɡament,parʃɛmɛ̃,perɡamena,peɾɡamino
perikul,peril,perikolo,peliɡɾo
perioadə,perjɔ,periodo,peɾjodo
periodik,perjɔdik,periodiko,peɾjodiko
peripatetik,peripatetjk,peripatetiko,peɾipatetiko
periplu,peripl,periplo,peɾiplo
permeabil,pɛrmeabl,permeabile,peɾmeable
permuta,pɛrmyte,permutare,peɾmutaɾ
permutat͡sie,pɛrmytatjɔ̃,permutasione,peɾmutasion
permutat͡siune,pɛrmytatjɔ̃,permutasione,peɾmutasion
perora,perɔre,perorare,peɾoɾaɾ
perpetuu,pɛrpetœr,perpetuo,peɾpetwo
perpleks,pɛrplɛ,perplesːo,peɾplexo
perpleksitate,pɛrplɛksite,perplesːita,peɾplexidad
persevera,pɛrsevere,perseverare,peɾsebeɾaɾ
perseverent͡sə,pɛrseveran,perseveransa,peɾsebeɾansia
persikə,pɛrsik,peʃa,pexeɡo
persoanə,pɛrsɔnaʒ,persona,peɾsona
personal,pɛrsɔnɛl,personale,peɾsonal
persuasiune,pɛrsɥasjɔ̃,persuasione,peɾswasjon
pertinent,pɛrtjn,pertinente,peɾtinente
perversitate,pɛrvɛrsite,perversita,peɾbeɾsidad
perversiune,pɛrvɛrsjɔ̃,perversione,peɾbeɾsjon
pervertire,pɛrvɛrtjr,pervertire,peɾbiɾtjendo
pesar,pɛsɛr,pesːario,pesaɾjo
peʃte,makɛro,pest͡ʃe,pes
petit͡sie,pətjtjɔ̃,petisione,petision
petulant,petylan,petulante,petulante
petunie,pətœ̃,petunia,petunja
piastru,pjastr,piastra,pjastɾa
pieri,po,perire,peɾeseɾ
piept,pi,petːo,pet͡ʃo
pieptene,pɛɲ,petːine,peine
pier,perir,perire,peɾeseɾ
piersik,pɛʃ,peʃa,pɾisko
pietate,pjete,pietoso,pjedad
piɡment,piɡm,piɡmento,piɡmento
pilor,pilɔr,piloro,piloɾo
pin,pɛ̃,pino,pino
pɨne,pɛ̃,pane,pan
pineal,pineal,pineale,pineal
pɨntet͡ʃe,pan,pánt͡ʃa,pansa
piramidə,pirami,piramide,piɾamide
pirat,pira,pirata,piɾata
pist͡ʃinə,pizin,pist͡ʃina,pissina
pisiform,pizifɔrm,pisiforme,pisifoɾme
pistil,pistjl,pistilːo,pistilo
plət͡ʃea,kɔ̃plɛzan,piat͡ʃere,plaseɾ
plat͡ʃebo,plazɛbɔ,plat͡ʃebo,plasebo
plat͡ʃentə,plazɛnta,plat͡ʃenta,plasenta
plaʒə,plaʒ,piád͡ʒːa,plaia
pləmɨn,pumɔ̃,polmone,pulmon
planetar,planetɛr,planetario,planetaɾjo
plantat͡sie,plantatjɔ̃,piantad͡ʒone,plantasion
plantat͡siune,plantatjɔ̃,piantad͡ʒone,plantasion
plantiɡrad,plantjɡra,plantiɡrado,plantiɡɾado
plastik,plastjk,plastika,plastiko
plastikə,plastjk,plastika,plastiko
plauzibil,plozibl,plausibile,plausible
pleka,plje,pieɡare,ʝeɡaɾ
plebe,plɛb,plebe,plebe
plebist͡ʃit,plebizi,plebist͡ʃito,plebissito
plenar,plenje,plenario,plenaɾjo
pleonasm,pleɔnasm,pleonazmo,pleonasmo
pleks,plɛksy,plesːo,plekso
plin,plɛ̃,pieno,ʝeno
ploaie,plœvwar,piod͡ʒːa,ʝobeɾ
plop,pœpl,kiopːo,t͡ʃopo
plumb,plɔmb,piombo,plomo
plural,plyrjɛl,plurale,pluɾal
pluralitate,plyralite,pluralita,pluɾalidad
pluvial,plyvjal,pluviale,plubjal
pneumatik,pnœmatjk,pneumatiko,neumatiko
poartə,pɔrtaj,porta,pweɾta
podium,pɔdjɥə̃,podio,podjo
poet,poè,poeta,poeta
poetik,poétjk,poetiko,poetiko
poezie,poésj,poesia,poesja
poi,pɥi,poi,pwess
politik,pɔlitjk,politiko,politiko
polit͡sie,pɔliz,polisia,polisia
pompos,pɔmpœ,pomposo,pomposo
ponderabil,pɔnderabl,ponderabile,pondeɾable
pont,pɔn,punto,punta
ponton,pɔntɔ̃,pontone,ponton
popor,pœpl,popolano,pweblo
popularitate,pɔpylarite,popolarita,populaɾidad
populat͡siune,pɔpylatjɔ̃,popolasione,poblasion
pork,pɔrk,porkaio,poɾkeɾo
porkar,pɔrʃe,porkajo,poɾkeɾo
portit͡ʃe,pɔrtjk,portiko,poɾtikos
port,pɔrt,porto,pweɾto
posesiv,pɔsɛsif,posːesːivo,posesibo
posibil,pɔsibl,posːibile,posible
posibilitate,pɔsibilite,posːibilita,posibilidad
posterior,pɔsterjœr,posteriore,posteɾjoɾ
posteritate,pɔsterite,posterita,posteɾidad
postumə,pɔstym,postumo,postumo
potabil,pɔtabl,potabile,potable
potent͡sə,pɔtɛn,potensa,potensia
pozit͡sie,pɔzitjɔ̃,posisione,posision
pradə,prɔj,preda,pɾesa
praɡmatik,praɡmatjk,praɡmatiko,pɾaɡmatiko
prat,prɛrjal,prato,pɾado
prebendə,prebɛn,prebenda,pɾebenda
prekar,prekɛr,prekario,pɾekaɾjo
pret͡ʃeda,prezede,pret͡ʃedere,pɾesedeɾ
pret͡ʃeptor,prezɛptœr,pret͡ʃetːore,pɾeseptoɾ
pret͡ʃesie,prezɛsjɔ̃,pret͡ʃesːione,pɾesesjon
pret͡ʃipita,prezipite,pret͡ʃipitare,pɾesipitaɾ
pret͡ʃis,prezi,pret͡ʃiso,pɾesiso
pret͡ʃizie,prezisjɔ̃,pret͡ʃisione,pɾesisjon
prekot͡ʃe,prekɔz,prekot͡ʃe,pɾekos
prekursoare,prekyrsœr,prekursore,pɾekuɾsoɾ
predestinat͡sie,predɛstjnatjɔ̃,predestinasione,pɾedestinasion
predikat͡sie,predikatjɔ̃,predikasione,pɾedikasion
predikativ,predikatjf,predikativo,pɾedikatibo
predikt͡sie,prediktjɔ̃,predisione,pɾediksion
prefat͡sə,prefaz,prefasione,pɾefasio
prefekt,prefɛ,prefetːo,pɾefekto
prefekturə,prefɛktyr,prefetːura,pɾefektuɾa
prelat,prela,prelato,pɾelado
preludiu,prely,preludio,pɾeludjo
prematur,prematyr,prematuro,pɾematuɾo
premedita,premɛdite,premeditare,pɾemeditaɾ
premiu,prɛmjɛr,premio,pɾemjo
prepara,prepare,preparare,pɾepaɾaɾ
preparat͡sie,preparatjɔ̃,preparasione,pɾepaɾasion
preparator,preparatœr,preparatore,pɾepaɾadoɾ
preparatoriŭ,preparatwar,preparatorio,pɾepaɾatoɾjo
prepozit͡sie,prepɔzitjɔ̃,preposisione,pɾeposision
preput͡s,prepyz,prepusio,pɾepusio
preroɡativə,prerɔɡatjv,preroɡativa,pɾeroɡatiba
preskript͡sie,prɛskriptjɔ̃,preʃrisione,pɾeskɾipsion
preʃedinte,prezi,presidente,pɾesidente
presiune,prɛsjɔ̃,presːione,pɾesjon
prestidid͡ʒitator,prɛstjdiʒitatœr,prestid͡ʒatore,pɾestidixitadoɾ
prestid͡ʒiu,prɛstjʒ,prestid͡ʒo,pɾestixio
pret͡s,pri,pret͡so,pɾes
pretekst,pretɛkst,pretesto,pɾeteksto
pret͡sios,prekjœz,presioso,pɾesioso
pretor,pretœr,pretore,pɾetoɾ
prevent͡sie,prevâtjɔ̃,prevensione,pɾebension
prezbiteriu,prɛsbitɛr,prezbiterio,pɾesbiteɾjo
prezent͡sə,prezɛn,presensa,pɾesensia
prezerva,prezɛrve,preservare,pɾeseɾbaɾ
prezidiu,prezidjɥə̃,presidio,pɾesidjo
prezenta,prezɛnte,presentare,pɾesentaɾ
prezumt͡sie,prezɔ̃ptjɔ̃,presuntione,pɾesunsion
prezumt͡sios,prezɔ̃ptɥœ,presunsioso,pɾesuntwoso
primar,mɛr,primaio,pɾimeɾo
primat,prima,primato,pɾimate
primitiv,primitjf,primitivo,pɾimitibo
primulə,primyla,primula,pɾimabeɾa
print͡ʃipal,prinsipal,print͡ʃipale,pɾinsipal
print͡ʃipat,prinsipa,print͡ʃipato,pɾinsipado
print͡ʃipiu,prinsi,print͡ʃipe,pɾinsipjo
prinde,prâdr,prendere,pɾendeɾ
priva,prive,privare,pɾibaɾ
privat͡siune,privatjɔ̃,privasione,pɾibasion
privativ,privatjf,privativo,pɾibatibo
priviled͡ʒiŭ,privilɛʒ,priviled͡ʒo,pɾibilexio
probabilitate,prɔbabilite,probabilita,pɾobabilidad
probitate,prɔbite,probita,pɾobidad
problemə,prɔblɛm,problema,pɾoblema
prot͡ʃes,prɔzɛ,prot͡ʃesːo,pɾoseso
prot͡ʃesiune,prɔzɛsjɔ̃,prot͡ʃesːione,pɾosesjon
proklama,prɔklame,proklamare,pɾoklamaɾ
proklamat͡sie,prɔklamatjɔ̃,proklamasione,pɾoklamasion
prokonsul,prɔkɔnsyl,prokonsole,pɾokonsul
prokonsular,prɔkɔnsylɛr,prokonsolare,pɾokonsulaɾ
prokrea,prɔkré,prokreare,pɾokɾeaɾ
prokreat͡sie,prɔkreatjɔ̃,prokreasione,pɾokɾeasion
prokreat͡siune,prɔkreatjɔ̃,prokreasione,pɾokɾeasion
prokurator,prɔkyratœr,prokuratore,pɾokuɾadoɾ
prodiɡa,prɔdiɡɥ,prodiɡo,pɾodiɡo
produk,prɔdɥir,produrːe,pɾodusiɾ
profan,prɔfan,profano,pɾofano
profana,prɔfan,profano,pɾofano
profesiune,prɔfɛsjɔ̃,profesːione,pɾofesjon
profesoarə,prɔfɛsœr,profesːore,pɾofesoɾ
profet,prɔfɛ,profeta,pɾofeta
profund,prɔfɔn,profondo,pɾofundo
profuziune,prɔfysjɔ̃,profusione,pɾofusjon
prod͡ʒenitor,prɔʒenitœr,prod͡ʒenitore,pɾoxenitoɾ
proɡram,prɔɡram,proɡramːe,pɾoɡɾama
proɡres,prɔɡrɛ,proɡreso,pɾoɡɾeso
proɡresie,prɔɡrɛsjɔ̃,proɡresːione,pɾoɡɾesjon
proiekt,avant-prɔʒɛ,prod͡ʒetːo,pɾoiekto
proiekt͡sie,prɔʒɛktjɔ̃,proiesione,pɾoieksion
proiektil,prɔʒɛktjl,projetːile,pɾoiektil
prolaps,prɔlapsy,prolasːo,pɾolapso
proliks,prɔli,prolisːo,pɾolixo
promiskuu,prɔmiskɥ,promiʃuo,pɾomiskwo
promontoriu,prɔmɔntwar,promontorio,pɾomontoɾjo
promotoare,prɔmɔtœr,promotore,pɾomotoɾ
promova,prɔmuvwar,promuovere,pɾomobeɾ
promulɡa,prɔmylɡɥe,promulɡare,pɾomulɡaɾ
pronominal,prɔnɔminal,pronominale,pɾonominal
pronostik,prɔnɔstjk,proɲostiko,pɾonostiko
pronume,prɔnɔ̃,pronome,pɾonombɾe
pronunt͡s,prɔnɔnse,pronunsiare,pɾonunsiaɾ
propaɡa,prɔpaʒe,propaɡare,pɾopaɡaɾ
propaɡandə,prɔpaɡan,propaɡanda,pɾopaɡanda
propensiune,prɔpâsjɔ̃,propensione,pɾopensjon
propit͡ʃe,prɔpiz,propisio,pɾopisio
proport͡sie,prɔpɔrtjɔ̃,proporsione,pɾopoɾsion
proport͡sional,prɔpɔrtjɔnɛl,proporsionale,pɾopoɾsional
proport͡sionalitate,prɔpɔrtjɔnalite,proporsionalita,pɾopoɾsionalidad
proport͡siune,prɔpɔrtjɔ̃,proporsione,pɾopoɾsion
proprietar,prɔprjetɛr,proprietario,pɾopjetaɾjo
propune,prɔpɔze,proporːe,pɾoponeɾ
proskrie,prɔskrir,proʃrivere,pɾoskɾibiɾ
prospekt,prɔspɛkty,prospetːo,pɾospekto
prosperitate,prɔsperite,prosperita,pɾospeɾidad
prostituatə,prɔstjtɥe,prostituta,pɾostituta
prostitut͡sie,prɔstjtytjɔ̃,prostitusione,pɾostitusion
protekt͡sie,prɔtɛktjɔ̃,protesione,pɾoteksion
protektor,prɔtɛtyr,protetːore,pɾotektoɾ
proteʒa,prɔteʒe,proted͡ʒːere,pɾotexeɾ
protokol,prɔtɔkɔl,protokolːo,pɾotokolo
protuberant͡sə,prɔtyberan,protuberansa,pɾotubeɾansia
proverb,prɔvɛrb,proverbio,pɾobeɾbjo
proverbial,prɔvɛrbjal,proverbiale,pɾobeɾbjal
provident͡sə,prɔvidɛn,provːidensa,pɾobidensia
provint͡ʃial,prɔvɛ̃kjal,provint͡ʃale,pɾobinsial
provint͡ʃie,prɔvin,provint͡ʃa,pɾobinsia
provokat͡sie,prɔvɔkatjɔ̃,provokasione,pɾobokasion
prozə,prɔz,prosa,pɾosa
prozaik,prɔzaik,prosaiko,pɾosaiko
prudent,pry,prudente,pɾudente
pruriɡo,pryriɡɔ,pruriɡo,pɾuɾiɡo
prurit,pryri,prurito,pɾuɾito
psalm,psom,salmo,salmo
psalmist,psalmist,salmista,salmista
pubertate,pybɛrte,puberta,pubeɾtad
pubis,pybi,pube,pubis
publikə,pyblik,pubːlikare,publiko
publikan,pyblizɛ̃,pubːlikano,publikano
publikat͡sie,pyblikatjɔ̃,pubːlikasione,publikasion
pune,pɔ̃dr,polːo,poneɾ
pulbere,pudr,polvere,polbo
pulmon,pumɔ̃,polmone,pulmon
pulpə,pu,polpa,pulpa
pulso,pulsɔ,pulso,pulso
pumn,pɔja,puɲale,puɲo
punte,pɔn,ponte,pwente
pur,impyr,puro,puɾo
purɡare,pyrʒe,purɡare,puɾɡaɾe
purɡat͡sie,pyrɡatjɔ̃,purɡasione,puɾɡasion
purɡatoriu,pyrɡatwar,purɡatorio,puɾɡatoɾjo
purit͡ʃe,pyz,pilukːare,pulɡa
purifika,pyrifje,purifikare,puɾifikaɾ
puritan,pyritɛ̃,puritano,puɾitano
purulent,pyryl,purulento,puɾulento
put͡s,pɥi,pot͡so,poso
putativ,pytatjf,putativo,putatibo
putrefakt͡sie,pytrefaktjɔ̃,putrefasione,putɾefaksion
rabik,rabik,rabːia,ɾabja
rabie,raʒ,rabːia,ɾabja
radikal,radikal,radikale,ɾadikal
radius,radjy,rad͡ʒːo,ɾadjo
rɨnt͡ʃed,ran,rant͡ʃido,ɾansio
rapat͡ʃitate,rapazite,rapat͡ʃitá,ɾapasidad
rar,rar,raro,ɾaɾo
rəʃinə,rezin,resina,ɾesina
rəʃinos,rezinœ,resinoso,ɾesinoso
rəspunde,repɔ̃dr,rispondere,ɾespondeɾ
rat͡sie,ratjɔ̃,rasione,ɾasion
rat͡sional,ratjɔnɛl,rasionale,ɾasional
rəu,mal,reo,ɾeo
razə,rɛ,rad͡ʒːo,ɾaeɾ
real,rwaal,reale,ɾeal
rebel,rəbɛl,ribelːe,ɾebelde
rebeliune,rebɛljɔ̃,rebelione,ɾebeljon
ret͡ʃe,rwaz,ret͡ʃente,ɾesiente
ret͡ʃeptakul,rezɛptakl,rit͡ʃetːakolo,ɾeseptakulo
ret͡ʃept͡sie,rəzɛptjɔ̃,rit͡ʃesione,ɾesepsion
ret͡ʃeptiv,rezɛptjf,rit͡ʃetːivo,ɾeseptibo
ret͡ʃesiune,rezɛsjɔ̃,ret͡ʃesːione,ɾesesjon
rekizit͡sie,rekizitjɔ̃,rekuisisione,ɾekisision
ret͡ʃiprot͡ʃitate,reziprɔzite,ret͡ʃiprot͡ʃita,ɾesipɾosidad
ret͡ʃita,rezite,ret͡ʃitare,ɾesitaɾ
rekrea,rɛkré,rikreare,ɾekɾeaɾ
rekreat͡sie,rɛkrəatjɔ̃,rikreasione,ɾekɾeasion
rektifika,rɛktjfje,retːifikare,ɾektifikaɾ
rekto,rɛktɔ,rekto,ɾekto
rektor,rɛtyr,retːore,ɾektoɾ
redut͡ʃe,redɥir,ridurːe,ɾedusiɾ
redundant͡sə,rədɔndan,ridondansa,ɾedundansia
refektoriu,refɛktwar,refetːorio,ɾefektoɾjo
referentə,refer,referente,ɾefeɾente
reflekt͡sie,reflɛksjɔ̃,riflesːione,ɾefleksjon
refleks,rɛflɛ,riflesːo,ɾeflexo
reformator,refɔrmatœr,riformatore,ɾefoɾmadoɾ
refraktar,refraktɛr,refratːario,ɾefɾaktaɾjo
refrakt͡sie,refraktjɔ̃,rifrasione,ɾefɾaksion
refrid͡ʒera,rɛfriʒɛre,refrid͡ʒerare,ɾefɾixeɾaɾ
refud͡ʒiu,rəfyʒ,rifud͡ʒo,ɾefuxio
red͡ʒe,rwa,re,kɾaĭ
red͡ʒenera,reʒenere,rid͡ʒenerare,ɾexeneɾaɾ
red͡ʒent,rə,red͡ʒːente,ɾexente
red͡ʒim,reʒim,red͡ʒime,ɾeximen
red͡ʒinə,rɛn,red͡ʒina,ɾeina
red͡ʒional,reɡjɔnal,red͡ʒonale,ɾexional
red͡ʒiune,reɡjɔ̃,red͡ʒone,ɾexion
reɡn,rɛɲ,reɲo,ɾeino
reɡresiune,reɡrɛsjɔ̃,reɡresːione,ɾeɡɾesjon
relat͡sie,rəlatjɔ̃,relasione,ɾelasion
relikvə,rəlik,relikuia,ɾelikja
relid͡ʒie,rəliɡjɔ̃,relid͡ʒone,ɾelixion
relid͡ʒios,rəliɡjœ,relid͡ʒoso,ɾelixioso
relid͡ʒiozitate,rəliɡjɔzite,relid͡ʒosita,ɾelixiosidad
relid͡ʒiune,rəliɡjɔ̃,relid͡ʒone,ɾelixion
remediabil,rəmedjabl,rimediabile,ɾemedjable
remediu,rəmɛ,rimedio,ɾemedjo
reminist͡ʃent͡sə,reminizɛn,reminist͡ʃensa,ɾeminissensia
remisiune,remisjɔ̃,remisːione,ɾemisjon
renal,renal,renale,ɾenal
renova,renɔve,rinovare,ɾenobaɾ
reparat͡siune,reparatjɔ̃,riparasione,ɾepaɾasion
reperkusiune,repɛrkysjɔ̃,riperkusːione,ɾepeɾkusjon
repertoriu,repɛrtwar,repertorio,ɾepeɾtoɾjo
repetit͡sie,repetjtjɔ̃,ripetisione,ɾepetision
represiune,reprɛsjɔ̃,represːione,ɾepɾesjon
represiv,reprɛsif,represːivo,ɾepɾesibo
represor,reprɛsœr,represːore,ɾepɾesoɾ
reprezenta,rɛprezɛnte,rapːresentare,ɾepɾesentaɾ
reprima,reprime,reprimere,ɾepɾimiɾ
repulsie,repylsjɔ̃,repulsione,ɾepulsjon
rest͡ʃiziune,rəzisjɔ̃,rest͡ʃisːione,ɾessisjon
reskript,rɛskri,reʃritːo,ɾeskɾipto
respekta,rɛspɛkt,rispetːo,ɾespeto
respira,rɛspire,respirare,ɾespiɾaɾ
respirat͡sie,rɛspiratjɔ̃,respirasione,ɾespiɾasion
respirat͡siune,rɛspiratjɔ̃,respirasione,ɾespiɾasion
responsabil,rɛspɔnsabl,reponsabile,ɾesponsable
restaura,rɛstore,restaurare,ɾestauɾaɾ
restaurator,rɛstoratœr,restauratore,ɾestauɾadoɾ
restitut͡sie,rɛstjtytjɔ̃,restitusione,ɾestitusion
restrikt͡sie,rɛstriktjɔ̃,restrisione,ɾestɾiksion
restriktiv,rɛstriktjf,restritːivo,ɾestɾiktibo
resurekt͡sie,rezyrrɛktjɔ̃,resurːesione,ɾesureksion
retent͡sie,retâtjɔ̃,ritensione,ɾetension
retit͡ʃent͡sə,retjzɛn,retit͡ʃensa,ɾetisensia
retikulo,retjkylɔ,retikolo,ɾetikulo
retorik,retɔrik,retorika,ɾetoɾiko
retrot͡ʃeda,retrɔzede,retrot͡ʃedere,ɾetɾosedeɾ
retroɡrad,retrɔɡra,retroɡrado,ɾetɾoɡɾada
retroɡradat͡sie,retrɔɡradatjɔ̃,retroɡradasione,ɾetɾoɡɾadasion
reumatism,rœmatjsm,reumatizmo,ɾeumatismo
revela,revele,rivelare,ɾebelaɾ
revelat͡sie,revelatjɔ̃,rivelasione,ɾebelasion
reverend,reverɛn,reverendo,ɾebeɾendo
reverendə,reverɛn,reverendo,ɾebeɾendo
reverent͡sə,reverɛn,riverensa,ɾebeɾensia
reversie,revɛrsjɔ̃,reversione,ɾebeɾsjon
revizie,revisjɔ̃,revisione,ɾebisjon
revokabil,revɔkabl,revokabile,ɾebokable
revolut͡sie,revɔlytjɔ̃,rivolusione,ɾebolusion
revulsiv,revylsif,revulsivo,ɾebulsibo
rezident,rezi,residente,ɾesidente
reziduu,rezidy,residuo,ɾesidwo
rezista,reziste,resistere,ɾesistiɾ
rezolut͡sie,rezɔlytjɔ̃,risolusione,ɾesolusion
rezolva,rezudr,risolvere,ɾesolbeɾ
rezonant͡sə,rezɔnan,risonansa,ɾesonansia
ridikol,ridikyl,ridikolo,ɾidikulo
riɡoare,riɡɥœr,riɡore,ɾiɡoɾ
rimə,rim,rima,ɾima
rɨnt͡ʃed,ran,ránt͡ʃo,ɾansio
riniki,rɔɲɔ̃,roɲone,ɾiɲon
ritual,ritɥɛl,rituale,ɾitwal
rival,rival,rivale,ɾibal
rivalitate,rivalite,rivalita,ɾibalidad
rizibil,rizibl,risibile,ɾisible
roadə,rur,rodere,ɾoeɾ
roib,ruʒ,robːio,ɾubjo
roatə,rɔtațj,routa,ɾweda
robust,rɔbyst,robusto,ɾobusto
roʃ,ru,rosːo,ɾoxo
roʃu,ru,rosːo,ɾoxo
rostral,rɔstral,rostrale,ɾostɾal
rotat͡sie,rɔtatjɔ̃,rotasione,ɾotasion
rotondə,rɔtɔn,rotonda,ɾotonda
rotulə,rɔtyl,rotula,ɾotula
rozariu,rɔzɛr,rosario,ɾosaɾjo
rubarbə,rybarb,rabárbaro,ɾwibaɾbo
rudiment,rydim,rudimento,ɾudimento
ruinə,rɥin,rovina,ɾwina
rumeɡa,rœ̃ɡje,ruɡumare,ɾumjaɾ
rup,rɔ̃pr,rompere,aroba
rupturə,rɔtyr,rotːura,ɾotuɾa
rural,ryral,rurale,ɾuɾal
rustik,rystjky,rustiko,ɾustiko
rustit͡ʃitate,rystjzite,rustit͡ʃita,ɾustisidad
ʃa,sɛl,selːa,siʝa
sak,sak,sakːo,sako
sat͡ʃerdotal,sazɛrdɔtal,sat͡ʃerdotale,saseɾdotal
sakrament,sakram,sakramento,sakɾamento
sakrifika,sakrifje,sakrifikare,sakɾifikaɾ
sakriled͡ʒiu,sakrilɛʒ,sakriled͡ʒo,sakɾilexio
sakristan,sakristɛ̃,sakrestano,sakɾistan
sakrosankt,sakrɔ-sɛn,sakrosanto,sakɾosanto
sadukeu,sadyzeâ,sadːut͡ʃeo,saduseo
safir,safir,safːiro,safiɾo
saɡat͡ʃe,saɡaz,saɡat͡ʃe,saɡas
səd͡ʒeatə,saə,saetːa,saeta
saia,saj,saia,saio
salamandrə,salamâdr,salamandra,salamandɾa
salbə,soʒ,salvia,salbja
salin,salɛ̃,salino,salina
salivə,saliv,saliva,saliba
salivat͡sie,salivatjɔ̃,salivasione,salibasion
salmon,somɔ̃,salmone,salmon
səlta,so,saltare,saltaɾ
salvator,salvatœr,salvatore,salbadoɾ
salvie,soʒ,salvia,salbja
